Console Name,Game Name,Original Name
CPS3,jojoba,jojoba.zip
CPS3,redearth,redearth.zip
CPS3,sfiii2j,sfiii2j.zip
CPS3,sfiii3n,sfiii3n.zip
CPS3,sfiiij,sfiiij.zip
IGS,dmnfrnt,dmnfrnt.zip
IGS,drgw2,drgw2.zip
IGS,dw2001,dw2001.zip
IGS,dwpc,dwpc.zip
IGS,grdians,grdians.zip
IGS,killbld,killbld.zip
IGS,killbldp,killbldp.zip
IGS,kov,kov.zip
IGS,kov2,kov2.zip
IGS,kov2p,kov2p.zip
IGS,kovplus,kovplus.zip
IGS,kovplusa,kovplusa.zip
IGS,kovsh,kovsh.zip
IGS,kovshp,kovshp.zip
IGS,kovytzy,kovytzy.zip
IGS,martmastc,martmastc.zip
IGS,olds,olds.zip
IGS,oldsplus,oldsplus.zip
IGS,orlegend,orlegend.zip
IGS,orlegendc,orlegendc.zip
IGS,pgm,pgm.zip
IGS,photoy2k,photoy2k.zip
IGS,svg,svg.zip
IGS,theglad100,theglad100.zip
EASYRPG,ff72dr,FF72DR
EASYRPG,resident evil dead arpg,Resident evil dead arpg
EASYRPG,zelda links awakening,Zelda Links Awakening
FBAHACK,avsp,avsp.zip
FBAHACK,avspp,avspp.zip
FBAHACK,captcomm,captcomm.zip
FBAHACK,captcommp,captcommp.zip
FBAHACK,captcommpjy,captcommpjy.zip
FBAHACK,captcommpwx,captcommpwx.zip
FBAHACK,captcommpzs,captcommpzs.zip
FBAHACK,captcommr1bs,captcommr1bs.zip
FBAHACK,captcommr1dw,captcommr1dw.zip
FBAHACK,captcommr1v4,captcommr1v4.zip
FBAHACK,captcommrds,captcommrds.zip
FBAHACK,ddsom,ddsom.zip
FBAHACK,ddsoma4pp,ddsoma4pp.zip
FBAHACK,ddtod,ddtod.zip
FBAHACK,ddtodp,ddtodp.zip
FBAHACK,dino,dino.zip
FBAHACK,dino1v3,dino1v3.zip
FBAHACK,dino2011ws,dino2011ws.zip
FBAHACK,dino2015ws,dino2015ws.zip
FBAHACK,dinodw,dinodw.zip
FBAHACK,dinojds,dinojds.zip
FBAHACK,dinojps,dinojps.zip
FBAHACK,dinolbws,dinolbws.zip
FBAHACK,dinoplus,dinoplus.zip
FBAHACK,dinoslicews,dinoslicews.zip
FBAHACK,dinotfzn,dinotfzn.zip
FBAHACK,dinowj,dinowj.zip
FBAHACK,dinows2019,dinows2019.zip
FBAHACK,dinowszh,dinowszh.zip
FBAHACK,dinowtw,dinowtw.zip
FBAHACK,dinoxa,dinoxa.zip
FBAHACK,dinoxzb,dinoxzb.zip
FBAHACK,dinoyz,dinoyz.zip
FBAHACK,doubledr,doubledr.zip
FBAHACK,ffight,ffight.zip
FBAHACK,ffight1v2,ffight1v2.zip
FBAHACK,ffightj2u,ffightj2u.zip
FBAHACK,gamelist,gamelist.xml
FBAHACK,grdians,grdians.zip
FBAHACK,grdianslbs,grdianslbs.zip
FBAHACK,grdiansplus,grdiansplus.zip
FBAHACK,grdianssy,grdianssy.zip
FBAHACK,hook,hook.zip
FBAHACK,hookj1v4,hookj1v4.zip
FBAHACK,hookus,hookus.zip
FBAHACK,hookx2,hookx2.zip
FBAHACK,hookxr,hookxr.zip
FBAHACK,kabukikl,kabukikl.zip
FBAHACK,kf2k1bs,kf2k1bs.zip
FBAHACK,kf2k1cm,kf2k1cm.zip
FBAHACK,kf2k2mp3,kf2k2mp3.zip
FBAHACK,kf2k2mp3s,kf2k2mp3s.zip
FBAHACK,kf2k2tt,kf2k2tt.zip
FBAHACK,killbld,killbld.zip
FBAHACK,killbldqy,killbldqy.zip
FBAHACK,knights,knights.zip
FBAHACK,knightsc,knightsc.zip
FBAHACK,knightsp,knightsp.zip
FBAHACK,kod,kod.zip
FBAHACK,kod1v3,kod1v3.zip
FBAHACK,kodbs,kodbs.zip
FBAHACK,koddw,koddw.zip
FBAHACK,kof02ic,kof02ic.zip
FBAHACK,kof2000,kof2000.zip
FBAHACK,kof2000p,kof2000p.zip
FBAHACK,kof2000t,kof2000t.zip
FBAHACK,kof2001,kof2001.zip
FBAHACK,kof2k2c2,kof2k2c2.zip
FBAHACK,kof2knd,kof2knd.zip
FBAHACK,kof94,kof94.zip
