Console Name,Game Name_x,Original Name,Console ID,Game Name_y,rating,rating_count,similarity
FC,Heavy Barrel,344 Heavy Barrel.nes,18,Heavy Barrel,69.9585708917,5,100
GB,Heavyweight Championship Boxing,Heavyweight Championship Boxing.gb,33,V Rally Championship Edition,61.5117725873,13,61
FC,Hell Fighter,347 Hell Fighter.nes,18,Balloon Fight,66.788663793,73,64
FC,Hell Fighter,347 Hell Fighter.nes,18,Road Fighter,73.2270691599,29,67
GBA,Hero Legend,925 Hero Legend.gba,24,F Zero GP Legend,73.1143327403,6,74
MD,High Seas Havoc,487 High Seas Havoc.bin,29,High Seas Havoc,79.7407457295,6,100
GB,Hit the Ice,Hit the Ice.gb,33,Hit the Ice,43.0,0,100
MD,Hook,488 Hook.bin,29,Hook,69.5618401276,10,100
GBC,Hoyle Card Games,Hoyle Card Games.gbc,22,Hoyle Card Games,50.0,0,100
FC,Hudson Hawk,352 Hudson Hawk.nes,18,Hudson Hawk,35.0,1,100
GB,Hudson Hawk,Hudson Hawk.gb,33,Hudson Hawk,35.0,1,100
FC,Hudson s Adventure Island,065 Hudson's Adventure Island.nes,18,Adventure Island,69.486326846,68,78
FC,Hudson s Adventure Island,065 Hudson's Adventure Island.nes,18,Adventure Island 2,67.7510501389,28,74
FC,Hudson s Adventure Island,065 Hudson's Adventure Island.nes,18,Adventure Island 3,61.9601941457,21,74
FC,Hudson s Adventure Island,065 Hudson's Adventure Island.nes,18,Bonk s Adventure,60.5112690755,16,68
FC,Hudson s Adventure Island II,066 Hudson's Adventure Island II.nes,18,Adventure Island,69.486326846,68,73
FC,Hudson s Adventure Island II,066 Hudson's Adventure Island II.nes,18,Adventure Island 2,67.7510501389,28,74
FC,Hudson s Adventure Island II,066 Hudson's Adventure Island II.nes,18,Adventure Island 3,61.9601941457,21,74
FC,Hudson s Adventure Island II,066 Hudson's Adventure Island II.nes,18,Bonk s Adventure,60.5112690755,16,64
FC,Hudson s Adventure Island III,067 Hudson's Adventure Island III.nes,18,Adventure Island,69.486326846,68,71
FC,Hudson s Adventure Island III,067 Hudson's Adventure Island III.nes,18,Adventure Island 2,67.7510501389,28,72
FC,Hudson s Adventure Island III,067 Hudson's Adventure Island III.nes,18,Adventure Island 3,61.9601941457,21,72
FC,Hudson s Adventure Island III,067 Hudson's Adventure Island III.nes,18,Bonk s Adventure,60.5112690755,16,62
GB,Humans,128 Humans.gb,33,The Humans,58.0,0,75
GB,Humans,128 Humans.gb,33,The Humans,58.0,2,75
PS,ISS Pro Evolution,ISS Pro Evolution,7,ISS Pro Evolution,70.7840289458,15,100
PS,ISS Pro Evolution,ISS Pro Evolution,7,ISS Pro Evolution 2,70.2878970331,23,94
PS,ISS Pro Evolution,ISS Pro Evolution,7,Pro Evolution Soccer,73.4913184432,24,70
GBA,Ice Age 2 The Meltdown,122 Ice Age 2-The Meltdown.gba,24,Ice Age 2 The Meltdown,69.1529996812,18,100
FC,Ice Hockey,137 Ice Hockey.nes,18,Ice Hockey,70.9690895582,22,100
FC,Ikari Warriors,059 Ikari Warriors.nes,18,Dragon Warrior,71.6538149959,8,64
FC,Ikari Warriors,059 Ikari Warriors.nes,18,Flying Warriors,32.306674,0,69
FC,Ikari Warriors,059 Ikari Warriors.nes,18,Ikari Warriors,71.659232285,25,100
FC,Ikari Warriors,059 Ikari Warriors.nes,18,Star Wars,77.7188716777,5,61
FC,Ikari Warriors,059 Ikari Warriors.nes,18,Wizards Warriors,65.0597468675,11,73
FC,Ikari Warriors 2,060 Ikari Warriors 2.nes,18,Dragon Warrior 4,72.0493105617,17,62
FC,Ikari Warriors 2,060 Ikari Warriors 2.nes,18,Flying Warriors,32.306674,0,65
FC,Ikari Warriors 2,060 Ikari Warriors 2.nes,18,Ikari Warriors,71.659232285,25,93
FC,Ikari Warriors 2,060 Ikari Warriors 2.nes,18,Ironsword Wizards Warriors 2,51.7538121775,5,64
FC,Ikari Warriors 2,060 Ikari Warriors 2.nes,18,Wizards Warriors,65.0597468675,11,69
FC,Ikari Warriors II Victory Road,061 Ikari Warriors II-Victory Road.nes,18,Ikari Warriors,71.659232285,25,64
MD,Immortal,411 Immortal.bin,29,The Immortal,74.9223442995,7,80
MD,Incredible Crash Dummies,617 Incredible Crash Dummies.bin,29,The Incredible Crash Dummies,66.0,3,92
MD,Incredible Hulk,259 Incredible Hulk.bin,29,The Incredible Hulk,58.3752973683,5,88
MD,Indiana Jones and the Last Crusade,073 Indiana Jones and the Last Crusade.bin,29,Indiana Jones and the Last Crusade The Action Game,74.9377964523,9,81
GB,Indiana Jones and the Last Crusade,129 Indiana Jones and the Last Crusade.gb,33,Indiana Jones and the Last Crusade The Action Game,74.9377964523,9,81
GBA,International Karate Advanced,540 International Karate Advanced.gba,24,International Karate,84.1800128212,27,82
GBA,International Karate Advanced,540 International Karate Advanced.gba,24,Mario Party Advance,59.3774997489,11,62
GBA,International Superstar Soccer,243 International Superstar Soccer.gba,24,International Karate,84.1800128212,27,68
MD,International Superstar Soccer Deluxe,192 International Superstar Soccer Deluxe.bin,29,FIFA International Soccer,85.7700161886,28,65
MD,International Superstar Soccer Deluxe,192 International Superstar Soccer Deluxe.bin,29,International Superstar Soccer Deluxe,81.1821854204,31,100
GG,Iron Man X O Manowar in Heavy Metal,003 Iron Man X-O Manowar in Heavy Metal.gg,35,Iron Man and X O Manowar in Heavy Metal,47.0,1,95
FC,Ironsword   Wizards   Warriors II,355 Ironsword - Wizards & Warriors II.nes,18,Ironsword Wizards Warriors 2,51.7538121775,5,89
FC,Ironsword   Wizards   Warriors II,355 Ironsword - Wizards & Warriors II.nes,18,Wizards Warriors,65.0597468675,11,65
FC,Isolated Warrior,356 Isolated Warrior.nes,18,Ikari Warriors,71.659232285,25,67
FC,Isolated Warrior,356 Isolated Warrior.nes,18,Wizards Warriors,65.0597468675,11,62
GB,Itchy   Scratchy Minature Golf Madness,Itchy & Scratchy-Minature Golf Madness.gb,33,The Simpsons Itchy Scratchy in Miniature Golf Madness,50.0,0,79
GB,Jack Nicklaus Golf,Jack Nicklaus Golf.gb,33,Jack Nicklaus Golf,53.0,2,100
FC,Jackie Chan s Action Kung Fu,083 Jackie Chan's Action Kung Fu.nes,18,Jackie Chan s Action Kung Fu,70.1068325865,11,100
PCE,Jackie Chan s Action Kung Fu,Jackie Chan's Action Kung Fu (U).pce,86,Jackie Chan s Action Kung Fu,70.1068325865,11,100
GB,James Bond 007,131 James Bond 007.gb,33,James Bond 007,56.1824970845,6,100
MD,James Pond 2 Codename RoboCod,413 James Pond 2-Codename RoboCod.bin,29,James Pond 2 Codename RoboCod,62.5850888982,24,100
FC,Jeopardy  25th Anniversary Edition,359 Jeopardy! 25th Anniversary Edition.nes,18,Star Trek 25th Anniversary,79.9541999286,10,67
GB,Jeopardy  Sports Edition,Jeopardy!-Sports Edition.gb,33,Jeopardy Platinum Edition,43.0,0,73
GB,Jeopardy  Sports Edition,Jeopardy!-Sports Edition.gb,33,Jeopardy Sports Edition,20.0,0,98
GB,Jeopardy  Teen Tournament,Jeopardy!-Teen Tournament.gb,33,Jeopardy Teen Tournament,30.0,0,98
MD,Jim Power   The Arcade Game,619 Jim Power - The Arcade Game.bin,29,Double Dragon 3 The Arcade Game,54.0,1,69
MD,Jim Power   The Arcade Game,619 Jim Power - The Arcade Game.bin,29,T2 The Arcade Game,85.6689368415,5,71
MD,Jim Power   The Arcade Game,619 Jim Power - The Arcade Game.bin,29,WWF WrestleMania The Arcade Game,30.9948626171,12,61
GBA,Jimmy Neutron Attack of the Twonkies,825 Jimmy Neutron-Attack of the Twonkies.gba,24,Jimmy Neutron Boy Genius,33.0,0,67
GBA,Jimmy Neutron Boy Genius,543 Jimmy Neutron-Boy Genius.gba,24,Jimmy Neutron Boy Genius,33.0,0,100
GBA,Jimmy Neutron Jet Fusion,544 Jimmy Neutron-Jet Fusion.gba,24,Jimmy Neutron Boy Genius,33.0,0,71
GBA,Jimmy Neutron vs Jimmy Negatron,824 Jimmy Neutron vs Jimmy Negatron.gba,24,Jimmy Neutron Boy Genius,33.0,0,65
MD,Joe   Mac Caveman Ninja,347 Joe & Mac Caveman Ninja.bin,29,Caveman Ninja,65.6172924633,24,72
GB,Jordan vs Bird,Jordan vs Bird.gb,33,Jordan vs Bird One on One,50.0,4,72
FC,Journey to Silius,044 Journey to Silius.nes,18,Journey to Silius,79.1468949022,16,100
GB,Judge Dredd,Judge Dredd.gb,33,Judge Dredd,61.2333092495,5,100
MD,Judge Dredd   The Movie,414 Judge Dredd - The Movie.bin,29,Judge Dredd,61.2333092495,5,65
MD,Jungle Book,040 Jungle Book.bin,29,Disney s The Jungle Book,82.5799845707,41,63
MD,Jungle Book,040 Jungle Book.bin,29,Jungle Strike,77.5557956065,19,67
MD,Jungle Strike,261 Jungle Strike.bin,29,Jungle Strike,77.5557956065,19,100
GB,Jungle Strike,Jungle Strike.gb,33,Solar Striker,47.5463906705,6,62
MD,Jungle Strike,261 Jungle Strike.bin,29,Urban Strike,69.2539080389,19,64
GB,Jungle Strike,Jungle Strike.gb,33,Urban Strike,69.2539080389,19,64
FC,Jurassic Boy 2,363 Jurassic Boy 2.nes,18,Jurassic Park,98.6897896106,7,67
FC,Jurassic Park,364 Jurassic Park.nes,18,Jurassic Park,98.6897896106,7,100
GG,Jurassic Park,Jurassic Park.gg,35,Jurassic Park,50.3663755735,5,100
MD,Jurassic Park 1,172 Jurassic Park 1.bin,29,Jurassic Park,82.2489318729,38,93
MD,Jurassic Park 1,172 Jurassic Park 1.bin,29,Jurassic Park Rampage Edition,79.8642873321,8,64
MD,Jurassic Park 2,173 Jurassic Park 2.bin,29,Jurassic Park,82.2489318729,38,93
MD,Jurassic Park 2,173 Jurassic Park 2.bin,29,Jurassic Park Rampage Edition,79.8642873321,8,64
MD,Jurassic Park Rampage Edition,174 Jurassic Park-Rampage Edition.bin,29,Jurassic Park,82.2489318729,38,62
